,Entity,Year,Global_Production_Tonnes,"GHG emissions per kilogram (Poore & Nemecek, 2018)",total_emissions_kg,total_emissions_gigatons
0,Lamb & Mutton,1961,6032191.0,39.72,217360279999.5462,0.2173602799995462
1,Lamb & Mutton,1962,6166781.0,39.72,222210013717.3842,0.2222100137173842
2,Lamb & Mutton,1963,6163326.0,39.72,222085518361.15317,0.22208551836115317
3,Lamb & Mutton,1964,6158124.0,39.72,221898072675.7368,0.22189807267573677
4,Lamb & Mutton,1965,6212144.0,39.72,223844596306.30078,0.22384459630630077
5,Lamb & Mutton,1966,6317857.0,39.72,227653793873.0874,0.2276537938730874
6,Lamb & Mutton,1967,6493821.0,39.72,233994372994.31216,0.23399437299431217
7,Lamb & Mutton,1968,6672625.0,39.72,240437286938.025,0.240437286938025
8,Lamb & Mutton,1969,6650206.0,39.72,239629454407.96918,0.23962945440796918
9,Lamb & Mutton,1970,6830942.0,39.72,246141984857.6844,0.24614198485768438
10,Lamb & Mutton,1971,6961677.0,39.72,250852809864.01138,0.2508528098640114
11,Lamb & Mutton,1972,7018105.0,39.72,252886101893.36096,0.25288610189336097
12,Lamb & Mutton,1973,6785120.0,39.72,244490862943.58398,0.244490862943584
13,Lamb & Mutton,1974,6561829.0,39.72,236444931659.0178,0.23644493165901778
14,Lamb & Mutton,1975,6791671.0,39.72,244726917669.68216,0.24472691766968216
15,Lamb & Mutton,1976,6819910.0,39.72,245744464519.06198,0.24574446451906198
16,Lamb & Mutton,1977,6884345.0,39.72,248066275887.72897,0.24806627588772898
17,Lamb & Mutton,1978,7044103.0,39.72,253822897919.78458,0.2538228979197846
18,Lamb & Mutton,1979,7044175.0,39.72,253825492323.735,0.25382549232373497
19,Lamb & Mutton,1980,7341533.0,39.72,264540308572.11057,0.2645403085721106
20,Lamb & Mutton,1981,7621505.0,39.72,274628648333.24097,0.27462864833324097
21,Lamb & Mutton,1982,7712227.0,39.72,277897669377.52136,0.27789766937752136
22,Lamb & Mutton,1983,7993433.0,39.72,288030474339.69055,0.28803047433969053
23,Lamb & Mutton,1984,8072131.0,39.72,290866229924.25415,0.29086622992425415
24,Lamb & Mutton,1985,8248783.0,39.72,297231600016.56055,0.29723160001656057
25,Lamb & Mutton,1986,8335775.0,39.72,300366216522.855,0.300366216522855
26,Lamb & Mutton,1987,8650214.0,39.72,311696519075.07477,0.3116965190750748
27,Lamb & Mutton,1988,9053236.0,39.72,326218767254.2152,0.3262187672542152
28,Lamb & Mutton,1989,9380976.0,39.72,338028349902.8832,0.33802834990288316
29,Lamb & Mutton,1990,9700135.0,39.72,349528730047.407,0.349528730047407
30,Lamb & Mutton,1991,9891850.0,39.72,356436871066.17,0.35643687106617
31,Lamb & Mutton,1992,10002888.0,39.72,360437946425.1215,0.3604379464251215
32,Lamb & Mutton,1993,10124567.0,39.72,364822453067.9093,0.3648224530679093
33,Lamb & Mutton,1994,10323788.0,39.72,372001060698.5015,0.37200106069850153
34,Lamb & Mutton,1995,10563474.0,39.72,380637759382.60675,0.38063775938260674
35,Lamb & Mutton,1996,10267761.0,39.72,369982218057.8202,0.36998221805782017
36,Lamb & Mutton,1997,10630817.0,39.72,383064355844.1593,0.3830643558441593
37,Lamb & Mutton,1998,11069521.0,39.72,398872347381.0522,0.3988723473810522
